"CityServiceValcon, LLC (CSV)",,,,,,,,,,,
,,,,,,,,,,,
"Customer/
Invoice
Number",Invoice,Due,unk,Invoice Amount,Discount Amount,Invoice Balance,TransType,TransDate, TransAmount ,"Check
Number/Type","Deposit
Date"
SEP1091-FC,9/30/2025,9/30/2025,1/0/1900,3.75,0.00,3.75,F/C,9/30/2025, 3.75 ,,
Customer 0098257 Totals:,,,,427.70,0.00,327.70,,, 327.70 ,,
0098267 Tiber Farming Company,,,,,,,,,,,
0042525-PP,4/25/2025,4/25/2025,1/0/1900,13.17-,0.00,13.17-,PRE,4/25/2025, (13.17),3391,4/25/2025
0846221-IN,4/24/2025,5/10/2025,1/0/1900,157.50,0.00,157.50-,INV,4/24/2025, 157.50 ,,
,,,,,,,PAY,4/25/2025, (157.50),3391,4/25/2025
,,,,,,,PAY,4/30/2025, (157.50),3394,4/30/2025
Customer 0098267 Totals:,,,,144.33,0.00,170.67-,,, (170.67),,
0098271 Nancy Tomsheck,,,,,,,,,,,
0889455-IN,10/13/2025,11/10/2025,1/0/1900,715.93,0.00,715.93,INV,10/13/2025, 715.93 ,,
Customer 0098271 Totals:,,,,715.93,0.00,715.93,,, 715.93 ,,
"0098272 Rocky 80, Inc.",,,,,,,,,,,
0888463-IN,10/8/2025,11/10/2025,1/0/1900,"10,075.00",0.00,"10,075.00",INV,10/8/2025," 10,075.00 ",,
0889440-IN,10/10/2025,11/10/2025,1/0/1900,"2,080.00",0.00,"2,080.00",INV,10/10/2025," 2,080.00 ",,
0889454-IN,10/10/2025,11/10/2025,1/0/1900,"1,820.00",0.00,"1,820.00",INV,10/10/2025," 1,820.00 ",,
Customer 0098272 Totals:,,,,"13,975.00",0.00,"13,975.00",,," 13,975.00 ",,
0098273 Berthelson Ranch,,,,,,,,,,,
AUG1054-FC,8/31/2025,8/31/2025,1/0/1900,1.15,0.00,1.15,F/C,8/31/2025, 1.15 ,,
Customer 0098273 Totals:,,,,1.15,0.00,1.15,,, 1.15 ,,
0098274 Tomsheck Brothers,,,,,,,,,,,
0867247-IN,7/23/2025,8/10/2025,1/0/1900,"4,375.00",0.00,"3,123.65-",INV,7/23/2025," 4,375.00 ",,
,,,,,,,PAY,8/11/2025," (4,375.00)",20401,8/11/2025
,,,,,,,PAY,8/19/2025," (4,375.00)",20406,8/19/2025
,,,,,,,PAY,9/30/2025," 1,251.35 ",0925APPLY,9/30/2025
0886694-IN,10/1/2025,11/10/2025,1/0/1900,"29,230.00",0.00,"29,230.00",INV,10/1/2025," 29,230.00 ",,
0887289-IN,10/2/2025,11/10/2025,1/0/1900,"13,117.50",0.00,"13,117.50",INV,10/1/2025," 13,117.50 ",,
0888935-IN,10/10/2025,11/10/2025,1/0/1900,400.00,0.00,400.00,INV,10/10/2025, 400.00 ,,
CL49107-IN,9/30/2025,10/10/2025,1/0/1900,186.17,0.00,186.17,INV,9/30/2025, 186.17 ,,
H76386I-IN,9/18/2025,10/10/2025,1/0/1900,57.47,0.00,57.47,INV,9/21/2025, 57.47 ,,
Customer 0098274 Totals:,,,,"47,366.14",0.00,"39,867.49",,," 39,867.49 ",,
"0098276 Tomshx, Inc.",,,,,,,,,,,
W265728-IN,10/13/2025,11/10/2025,1/0/1900,100.00,0.00,100.00,INV,10/14/2025, 100.00 ,,
Customer 0098276 Totals:,,,,100.00,0.00,100.00,,, 100.00 ,,
0098278 Toole Co. Extension,,,,,,,,,,,
0006383-PP,6/6/2025,6/6/2025,1/0/1900,14.74-,0.00,14.74-,PRE,6/6/2025, (14.74),114559,6/6/2025
0026853-PP,5/6/2024,5/6/2024,1/0/1900,30.02-,0.00,30.02-,PRE,5/6/2024, (30.02),112487,5/6/2024
Customer 0098278 Totals:,,,,44.76-,0.00,44.76-,,, (44.76),,
0098279 Toole Co. Ambulance,,,,,,,,,,,
CL49108-IN,9/30/2025,10/30/2025,1/0/1900,226.59,0.00,226.59,INV,9/30/2025, 226.59 ,,
Customer 0098279 Totals:,,,,226.59,0.00,226.59,,, 226.59 ,,
0098280 North Toole Co. Cemetery,,,,,,,,,,,
0006383-PP,6/6/2025,6/6/2025,1/0/1900,14.99-,0.00,14.99-,PRE,6/6/2025, (14.99),114559,6/6/2025
CL49109-IN,9/30/2025,10/30/2025,1/0/1900,169.41,0.00,169.41,INV,9/30/2025, 169.41 ,,
S344899-IN,9/26/2025,10/26/2025,1/0/1900,560.00,0.00,560.00,INV,9/26/2025, 560.00 ,,
Customer 0098280 Totals:,,,,714.42,0.00,714.42,,, 714.42 ,,
0098281 Toole Co. Transit Interlocal,,,,,,,,,,,
0090525-PP,9/5/2025,9/5/2025,1/0/1900,0.03-,0.00,0.03-,PRE,9/5/2025, (0.03),115115,9/5/2025
0120623-PP,12/6/2023,12/6/2023,1/0/1900,0.20-,0.00,0.20-,PRE,12/6/2023, (0.20),111686,12/6/2023
CL49110-IN,9/30/2025,10/30/2025,1/0/1900,"4,831.63",0.00,"4,831.63",INV,9/30/2025," 4,831.63 ",,
H76862I-IN,9/24/2025,10/10/2025,1/0/1900,47.88,0.00,47.88,INV,9/28/2025, 47.88 ,,
H77316I-IN,9/30/2025,10/10/2025,1/0/1900,5.99,0.00,5.99,INV,9/30/2025, 5.99 ,,
Customer 0098281 Totals:,,,,"4,885.27",0.00,"4,885.27",,," 4,885.27 ",,
0098282 Toole Co. Cemetery-S,,,,,,,,,,,
0756626-IN,4/22/2024,5/22/2024,1/0/1900,63.00,0.00,63.00-,INV,4/22/2024, 63.00 ,,
,,,,,,,PAY,5/6/2024, (63.00),112487,5/6/2024
,,,,,,,PAY,6/5/2024, (63.00),112670,6/5/2024
0760193-PP,6/5/2024,6/5/2024,1/0/1900,65.00-,0.00,65.00-,PRE,6/5/2024, (65.00),112670,6/5/2024
0886479-IN,9/29/2025,10/29/2025,1/0/1900,71.07,0.00,71.07,INV,9/30/2025, 71.07 ,,
0889492-IN,10/10/2025,11/9/2025,1/0/1900,245.99,0.00,245.99,INV,10/10/2025, 245.99 ,,
Customer 0098282 Totals:,,,,315.06,0.00,189.06,,, 189.06 ,,
0098283 Toole Co. Council On Aging,,,,,,,,,,,
CL49111-IN,9/30/2025,10/30/2025,1/0/1900,80.12,0.00,80.12,INV,9/30/2025, 80.12 ,,
Customer 0098283 Totals:,,,,80.12,0.00,80.12,,, 80.12 ,,
0098284 Toole Co. Courthouse,,,,,,,,,,,
CL49112-IN,9/30/2025,10/30/2025,1/0/1900,124.48,0.00,124.48,INV,9/30/2025, 124.48 ,,
H77366I-IN,9/30/2025,10/10/2025,1/0/1900,6.49,0.00,6.49,INV,9/30/2025, 6.49 ,,
Customer 0098284 Totals:,,,,130.97,0.00,130.97,,, 130.97 ,,
0098286 Logan Health - Shelby,,,,,,,,,,,
0885405-IN,9/24/2025,10/10/2025,1/0/1900,129.06,0.00,129.06,INV,9/24/2025, 129.06 ,,
0886256-IN,9/26/2025,10/10/2025,1/0/1900,142.96,0.00,142.96,INV,9/26/2025, 142.96 ,,
0886443-IN,9/29/2025,10/10/2025,1/0/1900,149.46,0.00,149.46,INV,9/29/2025, 149.46 ,,
0887119-IN,10/1/2025,11/10/2025,1/0/1900,87.73,0.00,87.73,INV,10/1/2025, 87.73 ,,
0887863-IN,10/6/2025,11/10/2025,1/0/1900,81.23,0.00,81.23,INV,10/3/2025, 81.23 ,,
0888153-IN,10/6/2025,11/10/2025,1/0/1900,97.47,0.00,97.47,INV,10/6/2025, 97.47 ,,
0888994-IN,10/9/2025,11/10/2025,1/0/1900,128.36,0.00,128.36,INV,10/9/2025, 128.36 ,,
0889516-IN,10/10/2025,11/10/2025,1/0/1900,86.65,0.00,86.65,INV,10/10/2025, 86.65 ,,
CL49113-IN,9/30/2025,10/10/2025,1/0/1900,70.33,0.00,70.33,INV,9/30/2025, 70.33 ,,
H76490I-IN,9/19/2025,10/10/2025,1/0/1900,22.68,0.00,22.68,INV,9/21/2025, 22.68 ,,
H76831I-IN,9/24/2025,10/10/2025,1/0/1900,30.99,0.00,30.99,INV,9/28/2025, 30.99 ,,
H77313I-IN,9/30/2025,10/10/2025,1/0/1900,29.99,0.00,29.99,INV,9/30/2025, 29.99 ,,
H77397I-IN,10/1/2025,11/10/2025,1/0/1900,20.48,0.00,20.48,INV,10/5/2025, 20.48 ,,
Customer 0098286 Totals:,,,,"1,077.39",0.00,"1,077.39",,," 1,077.39 ",,
0098288 Toole Co. Road Dept,,,,,,,,,,,
0883715-IN,9/18/2025,10/18/2025,1/0/1900,311.54,0.00,311.54,INV,9/18/2025, 311.54 ,,
0884842-IN,9/22/2025,10/22/2025,1/0/1900,"3,368.71",0.00,"3,368.71",INV,9/22/2025," 3,368.71 ",,
CL49114-IN,9/30/2025,10/30/2025,1/0/1900,573.43,0.00,573.43,INV,9/30/2025, 573.43 ,,
H62654-PP,7/3/2025,7/3/2025,1/0/1900,3.49-,0.00,3.49-,PRE,7/3/2025, (3.49),114731,7/3/2025
H75042I-IN,9/2/2025,10/10/2025,1/0/1900,5.99,0.00,5.99,INV,9/7/2025, 5.99 ,,
H76366I-IN,9/18/2025,10/10/2025,1/0/1900,10.58,0.00,10.58,INV,9/21/2025, 10.58 ,,
H76910I-IN,9/25/2025,10/10/2025,1/0/1900,33.75,0.00,33.75,INV,9/28/2025, 33.75 ,,
H76922I-IN,9/25/2025,10/10/2025,1/0/1900,9.49,0.00,9.49,INV,9/28/2025, 9.49 ,,
H77239I-IN,9/29/2025,10/10/2025,1/0/1900,23.96,0.00,23.96,INV,9/30/2025, 23.96 ,,
H77362I-IN,9/30/2025,10/10/2025,1/0/1900,9.49,0.00,9.49,INV,9/30/2025, 9.49 ,,
Customer 0098288 Totals:,,,,"4,343.45",0.00,"4,343.45",,," 4,343.45 ",,
0098289 Toole Co. Search & Rescue,,,,,,,,,,,
CL49115-IN,9/30/2025,10/30/2025,1/0/1900,121.31,0.00,121.31,INV,9/30/2025, 121.31 ,,
H76447I-IN,9/19/2025,10/10/2025,1/0/1900,33.99,0.00,33.99,INV,9/21/2025, 33.99 ,,
Customer 0098289 Totals:,,,,155.30,0.00,155.30,,, 155.30 ,,
0098290 Toole Co. Sheriff'S Dept.,,,,,,,,,,,
CL49116-IN,9/30/2025,10/30/2025,1/0/1900,"5,498.02",0.00,"5,498.02",INV,9/30/2025," 5,498.02 ",,
Customer 0098290 Totals:,,,,"5,498.02",0.00,"5,498.02",,," 5,498.02 ",,
0098291 Toole Co. Coroner,,,,,,,,,,,
CL49117-IN,9/30/2025,10/30/2025,1/0/1900,28.69,0.00,28.69,INV,9/30/2025, 28.69 ,,
Customer 0098291 Totals:,,,,28.69,0.00,28.69,,, 28.69 ,,
0098293 Dept of Child & Family,,,,,,,,,,,
B284695-IN,3/31/2023,3/31/2023,1/0/1900,5.00-,0.00,5.00-,INV,4/1/2023, (5.00),,
Customer 0098293 Totals:,,,,5.00-,0.00,5.00-,,, (5.00),,
0098294 Toole Co. Weed Control,,,,,,,,,,,
0885283-IN,9/24/2025,10/24/2025,1/0/1900,240.00,0.00,240.00,INV,9/24/2025, 240.00 ,,
CL49118-IN,9/30/2025,10/30/2025,1/0/1900,361.04,0.00,361.04,INV,9/30/2025, 361.04 ,,
H77832I-IN,10/6/2025,11/10/2025,1/0/1900,16.00,0.00,16.00,INV,10/12/2025, 16.00 ,,
Customer 0098294 Totals:,,,,617.04,0.00,617.04,,, 617.04 ,,
0098297 Town of Valier,,,,,,,,,,,
H77537I-IN,10/2/2025,11/10/2025,1/0/1900,1.60,0.00,1.60,INV,10/5/2025, 1.60 ,,
H78114I-IN,10/9/2025,11/10/2025,1/0/1900,19.43,0.00,19.43,INV,10/12/2025, 19.43 ,,
H78127I-IN,10/9/2025,11/10/2025,1/0/1900,28.77,0.00,28.77,INV,10/12/2025, 28.77 ,,
Customer 0098297 Totals:,,,,49.80,0.00,49.80,,, 49.80 ,,
"0098299 Town Pump, Inc.",,,,,,,,,,,
H35268I-IN,5/15/2024,6/10/2024,1/0/1900,4.29,0.00,2.48-,INV,5/19/2024, 4.29 ,,
,,,,,,,PAY,10/21/2024, (4.29),693982,10/21/2024
,,,,,,,PAY,10/21/2024, (4.29),693982,10/21/2024
,,,,,,,PAY,10/29/2024, 0.25 ,1024APPLY,10/29/2024
,,,,,,,PAY,3/31/2025, 1.20 ,0325APPLY,3/31/2025
,,,,,,,PAY,7/29/2025, 0.36 ,0725APPLY,7/29/2025
Customer 0098299 Totals:,,,,4.29,0.00,2.48-,,, (2.48),,
0098300 Leif Torgerson,,,,,,,,,,,
0890660-IN,10/20/2025,11/10/2025,1/0/1900,151.32,0.00,151.32,INV,10/20/2025, 151.32 ,,
Customer 0098300 Totals:,,,,151.32,0.00,151.32,,, 151.32 ,,
0098301 Triangle Company,,,,,,,,,,,
0881429-IN,9/8/2025,10/10/2025,1/0/1900,"5,856.93",0.00,"5,856.93",INV,9/8/2025," 5,856.93 ",,
0882105-IN,9/12/2025,10/10/2025,1/0/1900,"14,885.13",0.00,"14,885.13",INV,9/12/2025," 14,885.13 ",,
Customer 0098301 Totals:,,,,"20,742.06",0.00,"20,742.06",,," 20,742.06 ",,
0098303 Triangle Land & Livestock,,,,,,,,,,,
0879005-IN,9/1/2025,10/10/2025,1/0/1900,"1,601.20",0.00,"1,601.20",INV,9/4/2025," 1,601.20 ",,
CL49120-IN,9/30/2025,10/10/2025,1/0/1900,269.80,0.00,269.80,INV,9/30/2025, 269.80 ,,
H75942I-IN,9/12/2025,10/10/2025,1/0/1900,21.45,0.00,21.45,INV,9/14/2025, 21.45 ,,
W262511-IN,9/22/2025,10/10/2025,1/0/1900,616.80,0.00,616.80,INV,9/23/2025, 616.80 ,,
W265510-IN,10/13/2025,11/10/2025,1/0/1900,332.60,0.00,332.60,INV,10/14/2025, 332.60 ,,
Customer 0098303 Totals:,,,,"2,841.85",0.00,"2,841.85",,," 2,841.85 ",,
0098305 Triple L Inc.,,,,,,,,,,,
0689105-IN,8/7/2023,9/10/2023,1/0/1900,83.69,0.00,45.81-,INV,8/7/2023, 83.69 ,,
,,,,,,,PAY,10/6/2023, (83.69),10983,10/6/2023
,,,,,,,PAY,10/11/2023, (83.69),11000,10/11/2023
,,,,,,,PAY,3/29/2024, 83.69 ,0329APPLY,3/29/2024
,,,,,,,PAY,3/29/2024, (45.81),0329APPLY,3/29/2024
Customer 0098305 Totals:,,,,83.69,0.00,45.81-,,, (45.81),,
0098307 Treasure State Drilling,,,,,,,,,,,
0881116-IN,9/8/2025,10/10/2025,1/0/1900,714.55,0.00,714.55,INV,9/8/2025, 714.55 ,,
CL49121-IN,9/30/2025,10/10/2025,1/0/1900,"1,807.07",0.00,"1,807.07",INV,9/30/2025," 1,807.07 ",,
Customer 0098307 Totals:,,,,"2,521.62",0.00,"2,521.62",,," 2,521.62 ",,
0098308 Trails End Concrete,,,,,,,,,,,
0121224-PP,12/12/2024,12/12/2024,1/0/1900,"21,919.26-",0.00,"21,318.26-",PRE,12/12/2024," (21,919.26)",15240,12/12/2024
,,,,,,,PAY,4/22/2025, 601.00 ,0425APPLY,4/22/2025
0882057-IN,9/16/2025,10/10/2025,1/0/1900,"4,215.90",0.00,200.00,INV,9/16/2025," 4,215.90 ",,
,,,,,,,PAY,9/29/2025," (4,015.90)",15553,9/29/2025
Customer 0098308 Totals:,,,,"17,703.36-",0.00,"21,118.26-",,," (21,118.26)",,
0098310 Three Forks Resources LLC,,,,,,*** Credit Limit Exceeded ***,,,,,
0031125-PP,3/11/2025,3/11/2025,1/0/1900,"2,241.77-",0.00,"2,241.77-",PRE,3/11/2025," (2,241.77)",47843,3/11/2025
0865082-IN,7/8/2025,7/11/2025,1/0/1900,"3,000.00",0.00,"3,000.00",INV,7/8/2025," 3,000.00 ",,
AUG1056-FC,8/31/2025,8/31/2025,1/0/1900,9.48,0.00,9.48,F/C,8/31/2025, 9.48 ,,
JUL0863-FC,7/31/2025,7/31/2025,1/0/1900,9.48,0.00,9.48,F/C,7/31/2025, 9.48 ,,
SEP1092-FC,9/30/2025,9/30/2025,1/0/1900,9.48,0.00,9.48,F/C,9/30/2025, 9.48 ,,
Customer 0098310 Totals:,,,,786.67,0.00,786.67,,, 786.67 ,,
0098312 Paul Turner,,,,,,,,,,,
H76865I-IN,9/24/2025,10/10/2025,1/0/1900,12.38,0.00,12.38,INV,9/28/2025, 12.38 ,,
Customer 0098312 Totals:,,,,12.38,0.00,12.38,,, 12.38 ,,
0098315 Ronald D & Candace Tucker,,,,,,,,,,,
FA0325-PP,3/5/2025,3/5/2025,1/0/1900,"1,148.00-",0.00,"1,148.00-",PRE,3/5/2025," (1,148.00)",904953,3/5/2025
FA0525-PP,5/13/2025,5/13/2025,1/0/1900,631.00-,0.00,631.00-,PRE,5/13/2025, (631.00),910378,5/13/2025
FA0624-PP,6/11/2024,6/11/2024,1/0/1900,574.00-,0.00,511.96-,PRE,6/11/2024, (574.00),881344,6/11/2024
,,,,,,,PAY,5/27/2025, 62.04 ,0525APPLY,5/27/2025
Customer 0098315 Totals:,,,,"2,353.00-",0.00,"2,290.96-",,," (2,290.96)",,
0098317 U.S. Import Meat Inspection,,,,,,,,,,,
0022124-PP,2/21/2024,2/21/2024,1/0/1900,54.34-,0.00,54.34-,PRE,2/21/2024, (54.34),58548,2/21/2024
0032824-PP,3/28/2024,3/28/2024,1/0/1900,54.34-,0.00,54.34-,PRE,3/28/2024, (54.34),032824WIRE,3/28/2024
Customer 0098317 Totals:,,,,108.68-,0.00,108.68-,,, (108.68),,
0098321 Lynsay Vaile,,,,,,,,,,,
S067347-IN,10/3/2025,11/10/2025,1/0/1900,247.81,0.00,247.81,INV,10/6/2025, 247.81 ,,
Customer 0098321 Totals:,,,,247.81,0.00,247.81,,, 247.81 ,,
0098324 Darryl Vandekop,,,,,,,,,,,
H77552I-IN,10/2/2025,11/10/2025,1/0/1900,144.92,0.00,144.92,INV,10/5/2025, 144.92 ,,
H77575R-IN,10/3/2025,11/10/2025,1/0/1900,1.00-,0.00,1.00-,INV,10/5/2025, (1.00),,
H77595I-IN,10/3/2025,11/10/2025,1/0/1900,14.51,0.00,14.51,INV,10/5/2025, 14.51 ,,
H77731I-IN,10/4/2025,11/10/2025,1/0/1900,1.50,0.00,1.50,INV,10/5/2025, 1.50 ,,
H78275I-IN,10/11/2025,11/10/2025,1/0/1900,36.33,0.00,36.33,INV,10/12/2025, 36.33 ,,
H78315I-IN,10/11/2025,11/10/2025,1/0/1900,38.22,0.00,38.22,INV,10/12/2025, 38.22 ,,
H78341I-IN,10/11/2025,11/10/2025,1/0/1900,39.27,0.00,39.27,INV,10/12/2025, 39.27 ,,
Customer 0098324 Totals:,,,,273.75,0.00,273.75,,, 273.75 ,,
0098330 Len Vandenbos,,,,,,,,,,,
H78218I-IN,10/10/2025,11/10/2025,1/0/1900,32.00,0.00,32.00,INV,10/12/2025, 32.00 ,,
Customer 0098330 Totals:,,,,32.00,0.00,32.00,,, 32.00 ,,
0098331 Terry Vandenbos,,,,,,,,,,,
H77636I-IN,10/3/2025,11/10/2025,1/0/1900,40.00,0.00,40.00,INV,10/5/2025, 40.00 ,,
H77695I-IN,10/4/2025,11/10/2025,1/0/1900,308.40,0.00,308.40,INV,10/5/2025, 308.40 ,,
Customer 0098331 Totals:,,,,348.40,0.00,348.40,,, 348.40 ,,
0098332 Joey Vasboe,,,,,,,,,,,
W263675-IN,9/26/2025,10/10/2025,1/0/1900,56.90,0.00,56.90,INV,9/29/2025, 56.90 ,,
Customer 0098332 Totals:,,,,56.90,0.00,56.90,,, 56.90 ,,
"0098333 4V Ranch, Inc.",,,,,,,,,,,
H75763I-IN,9/10/2025,10/10/2025,1/0/1900,5.58,0.00,5.58,INV,9/14/2025, 5.58 ,,
H75795I-IN,9/10/2025,10/10/2025,1/0/1900,40.70,0.00,40.70,INV,9/14/2025, 40.70 ,,
H76010I-IN,9/13/2025,10/10/2025,1/0/1900,20.00,0.00,20.00,INV,9/14/2025, 20.00 ,,
H76950I-IN,9/25/2025,10/10/2025,1/0/1900,5.11,0.00,5.11,INV,9/28/2025, 5.11 ,,
H76952R-IN,9/25/2025,10/10/2025,1/0/1900,3.49-,0.00,3.49-,INV,9/28/2025, (3.49),,
H76956I-IN,9/25/2025,10/10/2025,1/0/1900,5.76,0.00,5.76,INV,9/28/2025, 5.76 ,,
Customer 0098333 Totals:,,,,73.66,0.00,73.66,,, 73.66 ,,
0098334 Kenneth Vandenbos,,,,,,,,,,,
0000909-PP,9/9/2025,9/9/2025,1/0/1900,0.25-,0.00,0.25-,PRE,9/9/2025, (0.25),0909CASH,9/9/2025
Customer 0098334 Totals:,,,,0.25-,0.00,0.25-,,, (0.25),,
0098336 Valier High School,,,,,,,,,,,
CL49124-IN,9/30/2025,10/10/2025,1/0/1900,"2,640.65",0.00,"2,640.65",INV,9/30/2025," 2,640.65 ",,
H75264I-IN,9/4/2025,10/10/2025,1/0/1900,630.00,0.00,630.00,INV,9/7/2025, 630.00 ,,
H75363I-IN,9/5/2025,10/10/2025,1/0/1900,252.86,0.00,252.86,INV,9/7/2025, 252.86 ,,
H76443I-IN,9/19/2025,10/10/2025,1/0/1900,25.99,0.00,25.99,INV,9/21/2025, 25.99 ,,
H77010I-IN,9/26/2025,10/10/2025,1/0/1900,32.48,0.00,32.48,INV,9/28/2025, 32.48 ,,
H77950I-IN,10/7/2025,11/10/2025,1/0/1900,34.00,0.00,34.00,INV,10/12/2025, 34.00 ,,
Customer 0098336 Totals:,,,,"3,615.98",0.00,"3,615.98",,," 3,615.98 ",,
0098338 Don Vandenbos,,,,,,,,,,,
H77828I-IN,10/6/2025,11/10/2025,1/0/1900,28.20,0.00,28.20,INV,10/12/2025, 28.20 ,,
Customer 0098338 Totals:,,,,28.20,0.00,28.20,,, 28.20 ,,
0098340 Jeff Vandenbos,,,,,,,,,,,
W265687-IN,10/13/2025,11/10/2025,1/0/1900,125.00,0.00,125.00,INV,10/14/2025, 125.00 ,,
Customer 0098340 Totals:,,,,125.00,0.00,125.00,,, 125.00 ,,
0098342 Dayne Vasboe,,,,,,,,,,,
AUG1058-FC,8/31/2025,8/31/2025,1/0/1900,55.45,0.00,55.45,F/C,8/31/2025, 55.45 ,,
CL49126-IN,9/30/2025,10/10/2025,1/0/1900,"2,963.93",0.00,"2,963.93",INV,9/30/2025," 2,963.93 ",,
Customer 0098342 Totals:,,,,"3,019.38",0.00,"3,019.38",,," 3,019.38 ",,
"0098347 W-H Productions, LLC",,,,,,*** On Credit Hold ***,,,,,
AUG1059-FC,8/31/2025,8/31/2025,1/0/1900,18.31,0.00,18.31,F/C,8/31/2025, 18.31 ,,
H72252I-IN,7/30/2025,8/10/2025,1/0/1900,28.99,0.00,28.99,INV,7/31/2025, 28.99 ,,
S336447-IN,7/29/2025,8/10/2025,1/0/1900,398.75,0.00,398.75,INV,7/29/2025, 398.75 ,,
S336449-IN,7/29/2025,8/10/2025,1/0/1900,536.50,0.00,536.50,INV,7/29/2025, 536.50 ,,
S336450-IN,7/29/2025,8/10/2025,1/0/1900,109.04,0.00,109.04,INV,7/29/2025, 109.04 ,,
S336463-IN,7/29/2025,8/10/2025,1/0/1900,391.50,0.00,391.50,INV,7/29/2025, 391.50 ,,
SEP1093-FC,9/30/2025,9/30/2025,1/0/1900,18.31,0.00,18.31,F/C,9/30/2025, 18.31 ,,
Customer 0098347 Totals:,,,,"1,501.40",0.00,"1,501.40",,," 1,501.40 ",,
0098349 Michael Wadsworth,,,,,,,,,,,
W265754-IN,10/13/2025,11/10/2025,1/0/1900,90.00,0.00,90.00,INV,10/14/2025, 90.00 ,,
Customer 0098349 Totals:,,,,90.00,0.00,90.00,,, 90.00 ,,
0098350 Jennifer & Tony Wagner,,,,,,,,,,,
W265755-IN,10/13/2025,11/10/2025,1/0/1900,80.00,0.00,80.00,INV,10/14/2025, 80.00 ,,
Customer 0098350 Totals:,,,,80.00,0.00,80.00,,, 80.00 ,,
0098351 Stan Wahl Farms Inc.,,,,,,,,,,,
0879352-IN,9/2/2025,9/12/2025,1/0/1900,"13,094.95",0.00,"13,094.95",INV,9/5/2025," 13,094.95 ",,
0880791-IN,9/2/2025,9/12/2025,1/0/1900,"6,547.48",0.00,"6,547.48",INV,9/5/2025," 6,547.48 ",,
0880792-IN,9/2/2025,9/12/2025,1/0/1900,"6,547.48",0.00,"6,547.48",INV,9/5/2025," 6,547.48 ",,
0881142-IN,9/9/2025,9/19/2025,1/0/1900,"5,819.98",0.00,"5,819.98",INV,9/15/2025," 5,819.98 ",,
0881143-IN,9/9/2025,9/19/2025,1/0/1900,"7,274.98",0.00,"7,274.98",INV,9/15/2025," 7,274.98 ",,
0885839-IN,9/29/2025,10/10/2025,1/0/1900,"2,749.43",0.00,"2,749.43",INV,9/29/2025," 2,749.43 ",,
SEP1094-FC,9/30/2025,9/30/2025,1/0/1900,491.06,0.00,491.06,F/C,9/30/2025, 491.06 ,,
Customer 0098351 Totals:,,,,"42,525.36",0.00,"42,525.36",,," 42,525.36 ",,
0098352 Waller Trucking,,,,,,,,,,,
0879917-IN,9/15/2025,10/10/2025,1/0/1900,300.00,0.00,300.00,INV,9/16/2025, 300.00 ,,
0880028-IN,9/1/2025,10/10/2025,1/0/1900,36.00,0.00,36.00,INV,9/4/2025, 36.00 ,,
0886257-IN,9/29/2025,10/10/2025,1/0/1900,101.08,0.00,101.08,INV,9/29/2025, 101.08 ,,
CL49129-IN,9/30/2025,10/10/2025,1/0/1900,408.64,0.00,408.64,INV,9/30/2025, 408.64 ,,
W261444-IN,9/15/2025,10/10/2025,1/0/1900,81.60,0.00,81.60,INV,9/16/2025, 81.60 ,,
Customer 0098352 Totals:,,,,927.32,0.00,927.32,,, 927.32 ,,
0098353 Mike Wallewein,,,,,,,,,,,
CL49130-IN,9/30/2025,10/10/2025,1/0/1900,250.33,0.00,250.33,INV,9/30/2025, 250.33 ,,
Customer 0098353 Totals:,,,,250.33,0.00,250.33,,, 250.33 ,,
0098354 Lance Wallewein,,,,,,,,,,,
0889451-IN,10/10/2025,11/10/2025,1/0/1900,"6,100.00",0.00,"6,100.00",INV,10/10/2025," 6,100.00 ",,
Customer 0098354 Totals:,,,,"6,100.00",0.00,"6,100.00",,," 6,100.00 ",,
"0098362 Welker Farms, Inc.",,,,,,,,,,,
H77553I-IN,10/2/2025,11/10/2025,1/0/1900,10.98,0.00,10.98,INV,10/5/2025, 10.98 ,,
H77949I-IN,10/7/2025,11/10/2025,1/0/1900,11.55,0.00,11.55,INV,10/12/2025, 11.55 ,,
Customer 0098362 Totals:,,,,22.53,0.00,22.53,,, 22.53 ,,
"0098363 Well Done Foundation, Inc.",,,,,,,,,,,
0888533-IN,10/2/2025,11/10/2025,1/0/1900,25.50,0.00,25.50,INV,10/10/2025, 25.50 ,,
Customer 0098363 Totals:,,,,25.50,0.00,25.50,,, 25.50 ,,
0098366 Wimpy Construction,,,,,,,,,,,
SEP1095-FC,9/30/2025,9/30/2025,1/0/1900,1.51,0.00,1.51,F/C,9/30/2025, 1.51 ,,
Customer 0098366 Totals:,,,,1.51,0.00,1.51,,, 1.51 ,,
0098369 Kerry Westerman,,,,,,,,,,,
0842232-IN,4/7/2025,5/10/2025,1/0/1900,100.00-,0.00,85.94-,INV,4/7/2025, (100.00),,
,,,,,,,PAY,7/29/2025, 14.06 ,0725APPLY,7/29/2025
0848931-IN,5/5/2025,6/10/2025,1/0/1900,100.00-,0.00,100.00-,INV,5/5/2025, (100.00),,
0864733-IN,7/7/2025,8/10/2025,1/0/1900,100.00-,0.00,100.00-,INV,7/7/2025, (100.00),,
0865147-IN,7/8/2025,8/10/2025,1/0/1900,100.00-,0.00,100.00-,INV,7/8/2025, (100.00),,
